Match_ID,Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
31981,D1,1996,1996-08-16,M'gladbach,Bielefeld,0,0,D
31982,D1,1996,1996-08-16,St Pauli,Bayern Munich,1,2,A
31983,D1,1996,1996-08-17,Bochum,Duisburg,1,0,H
31984,D1,1996,1996-08-17,Freiburg,Werder Bremen,3,2,H
31985,D1,1996,1996-08-17,Hansa Rostock,Karlsruhe,2,2,D
31986,D1,1996,1996-08-17,Leverkusen,Dortmund,4,2,H
31987,D1,1996,1996-08-17,Munich 1860,Hamburg,2,1,H
31988,D1,1996,1996-08-17,Stuttgart,Schalke 04,4,0,H
31989,D1,1996,1996-08-18,Fortuna Dusseldorf,FC Koln,0,3,A
31990,D1,1996,1996-08-20,Bielefeld,St Pauli,1,2,A
31991,D1,1996,1996-08-20,Hamburg,Freiburg,5,1,H
31992,D1,1996,1996-08-20,Schalke 04,M'gladbach,0,0,D
31993,D1,1996,1996-08-20,Werder Bremen,Hansa Rostock,1,1,D
31994,D1,1996,1996-08-21,Bayern Munich,Bochum,1,1,D
31995,D1,1996,1996-08-21,Dortmund,Dusseldorf,4,0,H
31996,D1,1996,1996-08-21,Duisburg,Leverkusen,1,3,A
31997,D1,1996,1996-08-21,FC Koln,Munich 1860,1,0,H
31998,D1,1996,1996-08-23,Hansa Rostock,Hamburg,0,1,A
31999,D1,1996,1996-08-23,St Pauli,Schalke 04,4,4,D
32000,D1,1996,1996-08-24,Bochum,Bielefeld,1,1,D
32001,D1,1996,1996-08-24,Freiburg,FC Koln,1,3,A
32002,D1,1996,1996-08-24,Leverkusen,Dusseldorf,0,1,A
32003,D1,1996,1996-08-24,M'gladbach,Karlsruhe,1,3,A
32004,D1,1996,1996-08-24,Munich 1860,Dortmund,1,3,A
32005,D1,1996,1996-08-24,Stuttgart,Werder Bremen,2,1,H
32006,D1,1996,1996-08-25,Duisburg,Bayern Munich,0,4,A
32007,D1,1996,1996-08-27,Dortmund,Freiburg,3,1,H
32008,D1,1996,1996-08-27,Hamburg,Stuttgart,0,4,A
32009,D1,1996,1996-08-27,Schalke 04,Bochum,1,1,D
32010,D1,1996,1996-08-27,Werder Bremen,M'gladbach,1,0,H
32011,D1,1996,1996-08-28,Bayern Munich,Leverkusen,4,2,H
32012,D1,1996,1996-08-28,Bielefeld,Duisburg,1,1,D
32013,D1,1996,1996-08-28,Fortuna Dusseldorf,Munich 1860,0,0,D
32014,D1,1996,1996-08-28,FC Koln,Hansa Rostock,0,2,A
32015,D1,1996,1996-08-28,Karlsruhe,St Pauli,4,0,H
32016,D1,1996,1996-09-06,Freiburg,Dusseldorf,1,2,A
32017,D1,1996,1996-09-06,M'gladbach,Hamburg,3,0,H
32018,D1,1996,1996-09-07,Bayern Munich,Bielefeld,1,0,H
32019,D1,1996,1996-09-07,Bochum,Karlsruhe,3,1,H
32020,D1,1996,1996-09-07,Duisburg,Schalke 04,0,1,A
32021,D1,1996,1996-09-07,Hansa Rostock,Dortmund,0,1,A
32022,D1,1996,1996-09-07,Leverkusen,Munich 1860,3,0,H
32023,D1,1996,1996-09-07,St Pauli,Werder Bremen,0,3,A
32024,D1,1996,1996-09-08,Stuttgart,FC Koln,4,0,H
32025,D1,1996,1996-09-13,Fortuna Dusseldorf,Hansa Rostock,0,2,A
32026,D1,1996,1996-09-13,Werder Bremen,Bochum,5,1,H
32027,D1,1996,1996-09-14,Bielefeld,Leverkusen,0,1,A
32028,D1,1996,1996-09-14,Dortmund,Stuttgart,1,1,D
32029,D1,1996,1996-09-14,FC Koln,M'gladbach,4,0,H
32030,D1,1996,1996-09-14,Karlsruhe,Duisburg,1,0,H
32031,D1,1996,1996-09-14,Munich 1860,Freiburg,4,0,H
32032,D1,1996,1996-09-14,Schalke 04,Bayern Munich,1,1,D
32033,D1,1996,1996-09-15,Hamburg,St Pauli,3,0,H
