Match_ID,Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
5988,D1,2006,2007-04-07,Hannover,Bayern Munich,1,2,A
5989,D1,2006,2006-11-11,Leverkusen,Bayern Munich,2,3,A
5990,D1,2006,2006-10-21,Werder Bremen,Bayern Munich,3,1,H
5991,D1,2006,2007-02-17,Aachen,Bayern Munich,1,0,H
5992,D1,2006,2007-03-17,Ein Frankfurt,Bayern Munich,1,0,H
5993,D1,2006,2006-09-30,Wolfsburg,Bayern Munich,1,0,H
5994,D1,2006,2007-04-21,Stuttgart,Bayern Munich,2,0,H
5995,D1,2006,2006-09-16,Bielefeld,Bayern Munich,2,1,H
5996,D1,2006,2006-11-25,Hamburg,Bayern Munich,1,2,A
5997,D1,2006,2006-12-16,Mainz,Bayern Munich,0,4,A
5998,D1,2006,2007-05-05,M'gladbach,Bayern Munich,1,1,D
5999,D1,2006,2006-08-20,Bochum,Bayern Munich,1,2,A
6000,D1,2006,2006-11-05,Schalke 04,Bayern Munich,2,2,D
6001,D1,2006,2007-03-03,Hertha,Bayern Munich,2,3,A
6002,D1,2006,2007-01-26,Dortmund,Bayern Munich,3,2,H
6003,D1,2006,2007-05-12,Cottbus,Bayern Munich,0,3,A
6004,D1,2006,2007-02-02,Nurnberg,Bayern Munich,3,0,H
6005,D1,2006,2007-02-10,Hamburg,Dortmund,3,0,H
6006,D1,2006,2006-11-10,Werder Bremen,Dortmund,1,3,A
6007,D1,2006,2006-09-22,M'gladbach,Dortmund,1,0,H
6008,D1,2006,2007-04-07,Aachen,Dortmund,1,4,A
6009,D1,2006,2007-05-19,Leverkusen,Dortmund,2,1,H
6010,D1,2006,2006-08-26,Stuttgart,Dortmund,1,3,A
6011,D1,2006,2007-02-24,Hannover,Dortmund,4,2,H
6012,D1,2006,2006-10-15,Cottbus,Dortmund,2,3,A
6013,D1,2006,2007-05-05,Wolfsburg,Dortmund,0,2,A
6014,D1,2006,2006-11-25,Ein Frankfurt,Dortmund,1,1,D
6015,D1,2006,2006-12-10,Schalke 04,Dortmund,3,1,H
6016,D1,2006,2007-03-10,Bochum,Dortmund,2,0,H
6017,D1,2006,2006-10-28,Nurnberg,Dortmund,1,1,D
6018,D1,2006,2007-01-31,Mainz,Dortmund,1,0,H
6019,D1,2006,2007-04-21,Hertha,Dortmund,0,1,A
6020,D1,2006,2007-03-30,Bielefeld,Dortmund,1,0,H
6021,D1,2006,2006-08-11,Bayern Munich,Dortmund,2,0,H
6022,D2,2006,2006-10-02,Hansa Rostock,Duisburg,1,0,H
6023,D2,2006,2007-04-27,CZ Jena,Duisburg,3,3,D
6024,D2,2006,2007-04-02,Kaiserslautern,Duisburg,0,3,A
6025,D2,2006,2006-11-08,Offenbach,Duisburg,0,0,D
6026,D2,2006,2006-08-20,Unterhaching,Duisburg,0,1,A
6027,D2,2006,2006-12-04,FC Koln,Duisburg,1,3,A
6028,D2,2006,2006-10-29,Burghausen,Duisburg,1,1,D
6029,D2,2006,2007-05-13,Paderborn,Duisburg,0,3,A
6030,D2,2006,2007-02-02,Erzgebirge Aue,Duisburg,0,1,A
6031,D2,2006,2007-01-21,Koblenz,Duisburg,1,1,D
6032,D2,2006,2006-11-17,Braunschweig,Duisburg,1,1,D
6033,D2,2006,2007-03-04,Freiburg,Duisburg,2,1,H
6034,D2,2006,2006-09-17,Karlsruhe,Duisburg,3,3,D
6035,D2,2006,2006-12-17,RW Essen,Duisburg,1,2,A
6036,D2,2006,2006-10-20,Greuther Furth,Duisburg,3,5,A
6037,D2,2006,2007-04-13,Augsburg,Duisburg,1,2,A
6038,D2,2006,2007-02-18,Munich 1860,Duisburg,2,2,D
6039,D1,2006,2006-10-28,Bayern Munich,Ein Frankfurt,2,0,H
6040,D1,2006,2007-03-09,Nurnberg,Ein Frankfurt,2,2,D
6041,D1,2006,2007-02-10,Leverkusen,Ein Frankfurt,2,2,D
6042,D1,2006,2007-02-24,Hamburg,Ein Frankfurt,3,1,H
6043,D1,2006,2006-08-27,Mainz,Ein Frankfurt,1,1,D
6044,D1,2006,2007-03-31,M'gladbach,Ein Frankfurt,1,1,D
6045,D1,2006,2006-11-17,Bochum,Ein Frankfurt,4,3,H
6046,D1,2006,2007-04-14,Bielefeld,Ein Frankfurt,2,4,A
6047,D1,2006,2007-05-12,Werder Bremen,Ein Frankfurt,1,2,A
6048,D1,2006,2006-08-12,Schalke 04,Ein Frankfurt,1,1,D
6049,D1,2006,2006-12-03,Aachen,Ein Frankfurt,2,3,A
6050,D1,2006,2006-11-08,Cottbus,Ein Frankfurt,0,1,A
6051,D1,2006,2007-01-30,Wolfsburg,Ein Frankfurt,2,2,D
6052,D1,2006,2006-12-16,Hertha,Ein Frankfurt,1,0,H
6053,D1,2006,2007-04-28,Dortmund,Ein Frankfurt,2,0,H
6054,D1,2006,2006-10-14,Hannover,Ein Frankfurt,1,1,D
6055,D1,2006,2006-09-23,Stuttgart,Ein Frankfurt,1,1,D
6056,D2,2006,2006-11-12,Freiburg,FC Koln,0,0,D
6057,D2,2006,2006-09-29,Paderborn,FC Koln,2,0,H
6058,D2,2006,2007-03-05,Karlsruhe,FC Koln,2,1,H
6059,D2,2006,2007-04-20,Munich 1860,FC Koln,3,1,H
6060,D2,2006,2006-10-20,Unterhaching,FC Koln,0,0,D
6061,D2,2006,2007-05-20,Kaiserslautern,FC Koln,2,2,D
6062,D2,2006,2007-01-26,Burghausen,FC Koln,1,3,A
6063,D2,2006,2006-11-03,Koblenz,FC Koln,3,1,H
6064,D2,2006,2007-03-19,Hansa Rostock,FC Koln,1,1,D
6065,D2,2006,2007-02-18,RW Essen,FC Koln,5,0,H
6066,D2,2006,2006-11-26,Greuther Furth,FC Koln,1,2,A
6067,D2,2006,2007-04-05,Erzgebirge Aue,FC Koln,0,1,A
6068,D2,2006,2006-12-10,Offenbach,FC Koln,2,0,H
6069,D2,2006,2006-08-14,Augsburg,FC Koln,0,2,A
6070,D2,2006,2007-02-09,Braunschweig,FC Koln,0,1,A
6071,D2,2006,2006-08-25,CZ Jena,FC Koln,3,2,H
6072,D2,2006,2007-05-07,Duisburg,FC Koln,1,3,A
6073,D2,2006,2007-02-04,Unterhaching,Freiburg,0,2,A
6074,D2,2006,2006-11-08,Augsburg,Freiburg,2,0,H
6075,D2,2006,2007-04-29,Offenbach,Freiburg,2,3,A
6076,D2,2006,2007-05-13,Karlsruhe,Freiburg,0,3,A
6077,D2,2006,2006-12-01,Paderborn,Freiburg,1,1,D
6078,D2,2006,2006-09-17,Munich 1860,Freiburg,1,1,D
6079,D2,2006,2007-04-01,Braunschweig,Freiburg,0,2,A
6080,D2,2006,2007-03-09,Burghausen,Freiburg,2,2,D
6081,D2,2006,2006-10-13,Duisburg,Freiburg,1,1,D
6082,D2,2006,2007-01-22,Hansa Rostock,Freiburg,0,1,A
6083,D2,2006,2007-04-15,FC Koln,Freiburg,0,3,A
6084,D2,2006,2006-12-17,Koblenz,Freiburg,0,1,A
6085,D2,2006,2006-10-30,Kaiserslautern,Freiburg,1,3,A
6086,D2,2006,2006-10-01,Erzgebirge Aue,Freiburg,3,1,H
6087,D2,2006,2006-08-20,RW Essen,Freiburg,2,0,H
6088,D2,2006,2007-02-19,Greuther Furth,Freiburg,0,0,D
6089,D2,2006,2006-11-17,CZ Jena,Freiburg,2,1,H
6090,D1,2006,2006-11-04,Wolfsburg,Hamburg,1,0,H
6091,D1,2006,2006-12-02,Bochum,Hamburg,2,1,H
