production_id,date,time,am_pm,turbine_name,capacity,location_name,latitude,longitude,region,status,responsible_department,wind_speed,wind_direction,energy_produced
8209,20240620,T000000,AM,Turbine A,1500,Location 1,L34.0522L,L-118.2437L,Region A,Reactive Maintenance,Maintenance,18.12972,N,0.0
8210,20240620,T000000,AM,Turbine B,2000,Location 2,L36.7783L,L-119.4179L,Region B,Online,Operations,8.12424,NE,527.19077
8211,20240620,T000000,AM,Turbine C,2500,Location 3,L40.7128L,L-74.0060L,Region C,Online,Operations,3.32545,NE,994.24007
8212,20240620,T001000,AM,Turbine A,1500,Location 1,L34.0522L,L-118.2437L,Region A,Online,Operations,22.64904,N,576.0174
8213,20240620,T001000,AM,Turbine B,2000,Location 2,L36.7783L,L-119.4179L,Region B,Online,Operations,11.50158,SW,1408.04307
8214,20240620,T001000,AM,Turbine C,2500,Location 3,L40.7128L,L-74.0060L,Region C,Online,Operations,19.93808,SE,1743.17578
8215,20240620,T002000,AM,Turbine A,1500,Location 1,L34.0522L,L-118.2437L,Region A,Online,Operations,10.23471,SW,964.26638
8216,20240620,T002000,AM,Turbine B,2000,Location 2,L36.7783L,L-119.4179L,Region B,Online,Operations,22.39247,NE,1618.04134
8217,20240620,T002000,AM,Turbine C,2500,Location 3,L40.7128L,L-74.0060L,Region C,Online,Operations,24.4641,SW,1903.17248
8218,20240620,T003000,AM,Turbine A,1500,Location 1,L34.0522L,L-118.2437L,Region A,Online,Operations,4.23309,E,1961.39421
8219,20240620,T003000,AM,Turbine B,2000,Location 2,L36.7783L,L-119.4179L,Region B,Online,Operations,20.15706,SW,1572.09906
8220,20240620,T003000,AM,Turbine C,2500,Location 3,L40.7128L,L-74.0060L,Region C,Online,Operations,21.46629,SE,1557.33018
8221,20240620,T004000,AM,Turbine A,1500,Location 1,L34.0522L,L-118.2437L,Region A,Online,Operations,22.61945,N,886.55227
8222,20240620,T004000,AM,Turbine B,2000,Location 2,L36.7783L,L-119.4179L,Region B,Online,Operations,6.00002,NW,1014.44915
8223,20240620,T004000,AM,Turbine C,2500,Location 3,L40.7128L,L-74.0060L,Region C,Online,Operations,13.7465,NE,1448.19404
8224,20240620,T005000,AM,Turbine A,1500,Location 1,L34.0522L,L-118.2437L,Region A,Online,Operations,12.13103,E,659.4911
8225,20240620,T005000,AM,Turbine B,2000,Location 2,L36.7783L,L-119.4179L,Region B,Online,Operations,24.84845,SW,655.59077
8226,20240620,T005000,AM,Turbine C,2500,Location 3,L40.7128L,L-74.0060L,Region C,Online,Operations,18.23313,NW,1130.95153
8227,20240620,T010000,AM,Turbine A,1500,Location 1,L34.0522L,L-118.2437L,Region A,Online,Operations,13.09797,E,1852.00703
8228,20240620,T010000,AM,Turbine B,2000,Location 2,L36.7783L,L-119.4179L,Region B,Online,Operations,13.36599,E,1128.04332
8229,20240620,T010000,AM,Turbine C,2500,Location 3,L40.7128L,L-74.0060L,Region C,Offline,Operations,12.12794,NW,0.0
8230,20240620,T011000,AM,Turbine A,1500,Location 1,L34.0522L,L-118.2437L,Region A,Online,Operations,17.27009,SW,532.32117
8231,20240620,T011000,AM,Turbine B,2000,Location 2,L36.7783L,L-119.4179L,Region B,Online,Operations,21.65861,E,1050.48385
8232,20240620,T011000,AM,Turbine C,2500,Location 3,L40.7128L,L-74.0060L,Region C,Online,Operations,12.42932,N,1289.30553
8233,20240620,T012000,AM,Turbine A,1500,Location 1,L34.0522L,L-118.2437L,Region A,Online,Operations,14.53594,E,1741.58017
8234,20240620,T012000,AM,Turbine B,2000,Location 2,L36.7783L,L-119.4179L,Region B,Online,Operations,16.5968,S,724.36945
8235,20240620,T012000,AM,Turbine C,2500,Location 3,L40.7128L,L-74.0060L,Region C,Online,Operations,3.02481,SW,1913.64115
8236,20240620,T013000,AM,Turbine A,1500,Location 1,L34.0522L,L-118.2437L,Region A,Reactive Maintenance,Maintenance,14.89615,SW,0.0
8237,20240620,T013000,AM,Turbine B,2000,Location 2,L36.7783L,L-119.4179L,Region B,Online,Operations,23.33212,SE,540.87428
8238,20240620,T013000,AM,Turbine C,2500,Location 3,L40.7128L,L-74.0060L,Region C,Online,Operations,13.65457,S,522.90373
8239,20240620,T014000,AM,Turbine A,1500,Location 1,L34.0522L,L-118.2437L,Region A,Online,Operations,11.34504,W,1045.65868
8240,20240620,T014000,AM,Turbine B,2000,Location 2,L36.7783L,L-119.4179L,Region B,Fault,Engineering,14.90979,S,0.0
8241,20240620,T014000,AM,Turbine C,2500,Location 3,L40.7128L,L-74.0060L,Region C,Online,Operations,19.88786,SW,933.88993
8242,20240620,T015000,AM,Turbine A,1500,Location 1,L34.0522L,L-118.2437L,Region A,Preventive Maintenance,Maintenance,9.64703,N,0.0
8243,20240620,T015000,AM,Turbine B,2000,Location 2,L36.7783L,L-119.4179L,Region B,Inspection,Maintenance,11.74332,NW,0.0
8244,20240620,T015000,AM,Turbine C,2500,Location 3,L40.7128L,L-74.0060L,Region C,Online,Operations,15.65327,S,1414.83715
8245,20240620,T020000,AM,Turbine A,1500,Location 1,L34.0522L,L-118.2437L,Region A,Online,Operations,14.64784,E,1028.73274
8246,20240620,T020000,AM,Turbine B,2000,Location 2,L36.7783L,L-119.4179L,Region B,Preventive Maintenance,Maintenance,22.84446,S,0.0
8247,20240620,T020000,AM,Turbine C,2500,Location 3,L40.7128L,L-74.0060L,Region C,Online,Operations,24.57554,SE,815.82134
8248,20240620,T021000,AM,Turbine A,1500,Location 1,L34.0522L,L-118.2437L,Region A,Online,Operations,6.66545,N,1263.43929
8249,20240620,T021000,AM,Turbine B,2000,Location 2,L36.7783L,L-119.4179L,Region B,Online,Operations,22.99405,NW,1299.02743
8250,20240620,T021000,AM,Turbine C,2500,Location 3,L40.7128L,L-74.0060L,Region C,Online,Operations,5.05607,S,622.57663
8251,20240620,T022000,AM,Turbine A,1500,Location 1,L34.0522L,L-118.2437L,Region A,Online,Operations,10.82902,NW,1799.06993
8252,20240620,T022000,AM,Turbine B,2000,Location 2,L36.7783L,L-119.4179L,Region B,Online,Operations,22.56688,N,1442.28657
8253,20240620,T022000,AM,Turbine C,2500,Location 3,L40.7128L,L-74.0060L,Region C,Online,Operations,5.04353,NE,1800.4125
8254,20240620,T023000,AM,Turbine A,1500,Location 1,L34.0522L,L-118.2437L,Region A,Online,Operations,14.77065,SW,1673.68209
8255,20240620,T023000,AM,Turbine B,2000,Location 2,L36.7783L,L-119.4179L,Region B,Online,Operations,19.49285,SE,537.94545
8256,20240620,T023000,AM,Turbine C,2500,Location 3,L40.7128L,L-74.0060L,Region C,Online,Operations,21.48964,SE,763.76876
8257,20240620,T024000,AM,Turbine A,1500,Location 1,L34.0522L,L-118.2437L,Region A,Online,Operations,19.56323,W,1527.13563
8258,20240620,T024000,AM,Turbine B,2000,Location 2,L36.7783L,L-119.4179L,Region B,Fault,Engineering,6.50601,SE,0.0
