production_id,date,time,am_pm,turbine_name,capacity,location_name,latitude,longitude,region,status,responsible_department,wind_speed,wind_direction,energy_produced
7345,20240618,00:00:00,AM,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,20.54374,SW,549.38214
7346,20240618,00:00:00,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,11.69426,SW,720.6205
7347,20240618,00:00:00,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,11.39494,NE,903.6526
7348,20240618,00:10:00,AM,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,24.79318,W,1305.48593
7349,20240618,00:10:00,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,5.81833,SW,1261.30464
7350,20240618,00:10:00,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,17.23351,NE,1398.11714
7351,20240618,00:20:00,AM,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,16.72315,SE,1412.10426
7352,20240618,00:20:00,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Reactive Maintenance,Maintenance,13.22921,SE,0.0
7353,20240618,00:20:00,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,8.70077,W,676.78001
7354,20240618,00:30:00,AM,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,5.32918,N,565.08232
7355,20240618,00:30:00,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,6.71332,S,756.30291
7356,20240618,00:30:00,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,15.60645,W,925.03361
7357,20240618,00:40:00,AM,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,11.74031,S,586.1106
7358,20240618,00:40:00,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,22.91607,SE,1957.12699
7359,20240618,00:40:00,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,17.39344,SW,1921.55803
7360,20240618,00:50:00,AM,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,2.91027,SE,1331.22173
7361,20240618,00:50:00,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,24.27547,SW,1245.85879
7362,20240618,00:50:00,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Offline,Operations,12.3078,E,0.0
7363,20240618,01:00:00,AM,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,22.33366,N,1612.47373
7364,20240618,01:00:00,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,17.75112,SW,1701.03475
7365,20240618,01:00:00,AM,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,7.62768,N,934.1942
7366,20240618,01:10:00,AM,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,17.16765,NE,707.94529
7367,20240618,01:10:00,AM,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,8.29052,W,976.15507
