DateTime,OrderID,Channel,Category,Product,Quantity,UnitPrice,LineTotal
2025-01-01 13:15:14,d1f6f86c-029a-4245-bb91-433a6aa79987,Web,Keyboards,Compact 60% Keyboard,1,73.31,73.31
2025-01-01 15:02:01,daea58ba-4c73-4942-8d87-78e7d340bbcd,Web,Keyboards,RGB Backlit Keyboard,1,77.32,77.32
2025-01-01 09:35:12,452ec40a-3193-4a54-ae89-71105e503a67,B2B,Storage,1TB NVMe SSD,1,66.86,66.86
2025-01-01 09:48:51,5f811cb9-2964-4f8b-afac-aa5090e5e945,Retail,Keyboards,Membrane Office Keyboard,1,25.15,25.15
2025-01-01 11:13:48,42d6cb5c-6ed4-494b-9fc9-e3b11fcff454,Web,Mice,Vertical Ergonomic Mouse,1,46.5,46.5
2025-01-01 09:46:29,9c9cea0c-2ca1-4789-a091-250e8fe46024,Retail,Headsets,Surround Sound Headphones,2,153.01,306.02
2025-01-01 13:53:40,bcf74d7a-5ada-4121-afd2-b7a48d9fe5b9,Retail,Monitors,34-inch Ultrawide Curved Monitor,1,493.09,493.09
2025-01-01 12:49:18,87f26aee-175f-4cd2-bb9d-58e4f543bbcf,Web,Networking,Powerline Ethernet Adapter,1,56.46,56.46
2025-01-01 15:17:29,95c5fb98-6980-481f-bc42-8d42fa882692,Retail,Monitors,24-inch 144Hz Gaming Monitor,1,183.39,183.39
2025-01-01 20:59:43,34a9af41-25ec-4845-aaa4-857e8101e89a,B2B,Monitors,24-inch 144Hz Gaming Monitor,1,267.0,267.0
2025-01-01 17:46:15,d64a3ce0-30a1-46d5-93ed-748bb80e3b0d,Retail,Keyboards,Membrane Office Keyboard,1,36.8,36.8
2025-01-01 12:43:20,7576714a-0605-4c82-9271-22dc57708107,Web,Storage,128GB USB Flash Drive,3,17.23,51.69
2025-01-01 14:25:17,82bde024-f7ac-4e22-86e0-f45856eaa301,B2B,Keyboards,Wireless Ergonomic Keyboard,1,83.07,83.07
2025-01-02 13:47:37,a9f559fc-f0b3-4868-81b5-577d00e266d0,B2B,Headsets,Noise-Cancelling Gaming Headset,1,131.94,131.94
2025-01-02 17:31:05,94820a06-c555-463f-a9ef-41d0deea959e,Web,Storage,2TB External HDD,2,107.99,215.98
2025-01-02 19:27:38,a70ce1b5-1978-4ec0-895c-fa4f2dcaabd5,Retail,Keyboards,Wireless Ergonomic Keyboard,1,81.04,81.04
2025-01-02 17:55:00,ae711399-e2b2-448b-9b1b-cf726a1eccda,Web,Monitors,15.6-inch Portable USB-C Monitor,1,184.54,184.54
